Unnamed: 0,address,city,state,country,propertyType,yearBuilt,size,bedrooms,bathrooms,mostRecentPriceAmount
0,455 Jeanette Branch Suite 337,Mississauga,BC,Canada,Condo,2022,3759,4,2,1833176.44
1,57415 Holland Mountain,Ottawa,AB,Canada,Detached,1980,2943,5,2,1368944.16
2,626 Booth Station Apt. 999,Calgary,ON,Canada,Townhouse,1994,3837,3,4,2078621.3
3,11222 Rodriguez Terrace Suite 537,Toronto,QC,Canada,Townhouse,2009,2237,5,4,1421757.65
4,193 Dustin Square,Ottawa,ON,Canada,Townhouse,2013,2545,2,3,1600450.1
5,68512 Martin Lake Apt. 051,Vancouver,ON,Canada,Townhouse,1971,889,4,3,277299.75
6,237 Tina Valley Apt. 272,Calgary,BC,Canada,Detached,2002,3168,3,3,1796201.84
7,65794 Michael Ferry,Toronto,QC,Canada,Condo,2018,800,5,4,513399.48
8,40619 Christine Orchard,Ottawa,AB,Canada,Semi-Detached,1976,1232,4,1,703012.79
9,047 Hunt Estate,Calgary,ON,Canada,Semi-Detached,2022,1041,1,4,379619.45
10,677 Andrews Lodge Suite 403,Ottawa,BC,Canada,Semi-Detached,2008,1759,1,2,1062306.29
11,930 Lang Ways,Toronto,QC,Canada,Condo,1992,2047,1,3,746204.27
12,188 Teresa Street,Vancouver,ON,Canada,Semi-Detached,2013,3275,3,1,1678385.95
13,073 Paul Prairie Suite 553,Ottawa,AB,Canada,Condo,2020,3032,3,4,1661598.08
14,98513 Hinton Villages Apt. 933,Vancouver,AB,Canada,Condo,2015,2742,5,3,890876.24
15,41682 Vanessa Dam,Calgary,BC,Canada,Semi-Detached,2012,2936,3,2,1511909.64
16,583 Christina Meadow,Toronto,QC,Canada,Detached,1984,2550,3,3,1015929.0
17,8887 Carol Trail Suite 744,Ottawa,AB,Canada,Detached,1972,1402,3,4,869598.38
18,754 Carol Bridge,Vancouver,AB,Canada,Semi-Detached,2004,1856,2,4,1408456.16
19,53135 Nash Walk Suite 510,Ottawa,BC,Canada,Townhouse,1986,2704,5,3,1818528.91
20,808 Brandon Haven,Vancouver,BC,Canada,Townhouse,1989,1580,4,4,708712.37
21,052 Adams Fork Apt. 158,Mississauga,BC,Canada,Detached,1988,844,3,4,394173.66
22,71701 Melissa Green,Mississauga,ON,Canada,Detached,1971,3616,1,1,2109003.5
23,3670 Reynolds Station Suite 986,Calgary,AB,Canada,Condo,1984,3300,2,4,1937471.88
24,3616 Jimmy Via,Mississauga,BC,Canada,Detached,2009,3556,5,1,2801582.67
